metafeatures,means,scales,n_boot,percentage,enableLog,step,count
min.of.mean,3.25420596448528E+020,2.48889804345563E+021,50,0.95,1,1,1
min.of.std,-259348.811137826,1983613.72371976,,,,,
min.of.min,2.76607506981249E+021,6.77092902542437E+021,,,,,
numPatterns,1330.4406779661,1409.9034551561,,,,,
logNumPatterns,6.5036055771,1.4428727508,,,,,
classProbMax,0.683650907,0.1913651683,,,,,
PCAKurtosisFirstPC,23.8540012945,89.5414953546,,,,,
