Attributes,Values
height,high
weight,low
income,medium
age,large
class,small
position,underweight
salary,overweight
,thin
,fat
,extreme
,regular
,A
,B
,C
,D
,E
,F
,G
,first
,second
,third
,young
,middle
,old
